title,address,description,size,price_string,direction,balcony_direction,bedrooms,toilets,duty,furniture,start_date,end_date,type,id,road,frontage
"Bán nhà hẻm 5m đường Nguyễn Thái Bình, Quận 1. DT: 4x15m, HDT khoán 45tr/tháng - giá 14 tỷ TL","Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh","Bán nhà hẻm 5m đường Nguyễn Thái Bình, Quận 1.
- Diện tích: 4x15m.
- Kết cấu: 5 tầng + thang máy.
- Có hợp đồng thuê khoán 45tr/tháng.
- Giá: 14 tỷ TL
- Pháp lý: sổ hồng chính chủ.
Liên hệ em Nhàn
0938 478 ***
để trực tiếp xem nhà.
Xin cám ơn quý khách đã xem tin.","59,16 m²",14 tỷ,,,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,11/07/2024,26/07/2024,Tin thường,40368203,,
Cung đường nổi tiếng Võ Văn Ngân - mặt tiền 4 tầng gần 200m2 ngang 7m thu nhập 100 tr/tháng - 5x tỷ,"Đường Võ Văn Ngân, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh","Hot hot! Bán nhanh nhà 4 tầng - mặt tiền kinh doanh - đường Võ Văn Ngân - P. Bình Thọ - ngang 7m - thu nhập 100tr/tháng.

* Dân cư xung quanh đông đúc, vị trí đắc địa của trung tâm Tp Thủ Đức.
* Sát đường Đặng Văn Bi, Xa lộ Hà Nội dễ dàn duy chuyển sang các khu trung tâm.
* Gần trường học các cấp, Ngân hàng ABC, BIDV.. Tiện ích xung quanh đầy đủ.

* Nhà 4 tầng đang cho thuê 100 tr/tháng.
* Diện tích công nhận: 193.3m² (7m x 28m).
* Pháp lý chuẩn chỉnh.

Giảm tiếp: 54 tỷ.

238BT.","193,3 m²",54 tỷ,Đông - Bắc,,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,21/07/2024,31/07/2024,Tin thường,40226105,25 m,25 m
"Bán nhà phố 2 mặt view, QL13, Thủ Đức, giảm giá đến 900 triệu","Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","* Bán nhà giảm ngay đến 900tr.
- Bán nhà phố 2 mặt view, mặt trước đường 5m, mặt sau đường 20m và công viên. Nhà đẹp, xây kiên cố, nằm trong khu biệt thự khang trang, đồng bộ. Thiết kế hiện đại, 2 mặt thông thoáng, xe hơi vào trong nhà.
- DT: 4m x 17m, DTSD: 260m² (hoặc bán căn đôi 8m x 17m = 520m²).
- Vị trí: QL13, TP Thủ Đức, cách KĐT Vạn Phúc 2Km, trung tâm TPHCM, sân bay TSN 15p, giao thông kết nối, thuận tiện di chuyển qua nhiều tuyến đường huyết mạch như: QL13, QL1A, QL1k, đại lộ Phạm Văn Đồng...
- Nhà mới hoàn thiện, gồm: Trệt, Lững, 02 lầu, tum.
- Kết cấu: 1 gara xe, 1 P. Khách, 1 P. Đọc sách/ phòng gym, P. Thờ, 4 P. Ngủ, P. Vệ sinh, P. Giặt và sân phơi. Tất cả các phòng đều có cửa sổ & ban công.
- Pháp lý: Sổ hồng riêng đã hoàn công, ngân hàng hỗ trợ vay 80% giá trị nhà.
- Giá bán: 7,25tỷ giảm còn 6,8tỷ (Căn đôi giá 14,5tỷ Giảm còn 13,9tỷ). Có thu nhập ngay 18tr/tháng.
- Bao phí công chứng, sang tên.
L/H A. Phụng SĐT:
0919 461 ***",68 m²,"6,8 tỷ",Đông - Bắc,,10 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,19/07/2024,26/07/2024,Tin VIP Kim Cương,40373156,,
"Minh Trần - 3PN, diện tích 95,9m2 giá 6,380 tỷ, tầm nhìn 360 độ, có 3% đặt chỗ","Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","Em Minh Trần xin kính chào quý anh chị đang tìm kiếm căn hộ đầu tư cũng như để ở.
Hiện tại dự án Sun Symphony đã cắt toàn bộ chính sách 3% Đặt chỗ sớm, Ở đây em đang có 1 căn.
3PN ở vị trí tầng cao, tầng 18 với diện tích căn 95.9m²:
- Căn này là căn gốc tầng 18 view quét được các hướng: View biển mỹ khê, view công viên nội khu, view núi sơn trà, tượng bồ tát, view vịnh Đà Nẵng.
- Khối toà S2A này cao 24 tầng mà có tận 4 thang máy nên rất thuận lợi cho việc di chuyển.
- Giá ở đây thì chủ đầu tư niêm yết bán là 6,997 tỷ, Đối với căn này vẫn giữ được 3% đặt chỗ, nếu anh chị không vay sẽ được tổng chiết khấu là 9% và sẽ thanh toán dàn trãi tới khi nhận căn hộ và giá chính xác là 6,380 tỷ.
- Giá ở đây là giá bàn giao thô, và đã gồm 10% VAT + 2% Phí bảo trì, miễn phí quản lý 3 năm, bàn giao vào tháng 2/2026.
- Đối với nhu cầu đầu tư bản thân trong nghề có 1 số lưu ý cho anh chị tham khảo: Cùng dự án thì căn này rẻ hơn so với các loại hình khác (vd 3PN view sông 13,5 tỷ hay 2PN view sông 7,9 tỷ, tuy nhiên căn này là căn gốc tầng cao nên lấy được view 360 độ view củng rất đẹp, tầm nhìn không hạn chế mà giá chỉ ngang 1 nữa loại hình khác, lại là căn cuối cùng giử được 3% 187 triệu đặt chổ sớm).
- Hiện tại ở dự án đã có mô hình thu nhỏ, và cả nhà mẫu nhé ạ, anh chị ghé Đà Nẵng nhắn em Minh Trần dẫn xem thực tế.
Anh chị cần thêm thông tin gì cứ nhắn em Minh, em hiện tại ở Đà Nãng công tác tại sàn phân phối top 1 của Sungroup - SRT tại 55 An Dương Vương, TP Đà Nẵng ạ, mọi thông tin em đăng cam kết chính xác, không đăng ảo câu view ạ.
Em Minh cám ơn mọi người đã đọc tin ạ!","95,9 m²","6,38 tỷ",Tây,Đông,3 phòng,3 phòng,Hợp đồng mua bán,,05/07/2024,,Tin thường,40313366,,
"Bán nhà riêng 66m2 chính chủ tại Bình Tân. DT 4mx17m, nở hậu, nhà mới full nội thất, 2 MT thoáng","Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh.","Chính chủ bán nhà 2 mặt tiền, hẻm xe hơi Lê Đình Cẩn, Bình Tân (gần Mã Lò).
- Diện tích: 4mx17m, nở hậu, CN 60m²,
- Kết cấu bê tông: Trệt 2 lầu.. Gồm: Mb rộng cao, 3p. Ngủ, 3nhà vệ sinh, 1bếp.
Đặc biệt: Nhà mới của cô ca sỹ, siêu mẫu chủ trước là người mẫu (mua lấy vía cả nhà ơi).
2 mặt tiền thoáng sáng, xe hơi đậu trong nhà vừa bỏ ra 1,5 tỷ để đầu tư mô hình kd/ đang cho thuê 22tr/tháng, sân thượng rất đẹp..
- Khu dân trí cao, giao thông thuận tiện.. Vừa ở/kinh doanh/văn phòng..
- Giá trước 6.5 tỷ, nay cần bán gấp đi nước ngoài bán nhanh chỉ 5.5 tỷ (hoa hồng MG 200 triệu).
Khách quan tâm LH Chính chủ:
0988 555 ***",66 m²,"5,5 tỷ",Bắc,Bắc,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,17/07/2024,24/07/2024,Tin VIP Kim Cương,39546642,"4,5 m",4 m
"Nhỏ nhỏ mà có võ nha - 4PN giá 3,75 tỷ nhà phố đường Quang Trung P. 12 Gò Vấp - DT: 3 x 8 đúc 2 tấm","Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh","Nhỏ nhỏ mà có võ nha - 4PN.
Giá: 3,75 tỷ bớt lộc.

Nhà phố đường Quang Trung P. 12 Gò Vấp.
- Diện tích: 3 x 8m vuông vức.
- Nhà đúc 1 trệt 2 lầu.
- Công năng: 4 phòng ngủ 3toilet, ban công.
- Sổ hồng chính chủ, đang làm hoàn công đầy đủ.
- Tặng full nội thất như hình.
- Hẻm trước nhà 3m. Cách 20 mét ra mặt tiền Quang Trung.
- Nhà hướng Tây Bắc.

Thanh Hiền Land - nhà đất quận Gò Vấp.
Liên hệ:
0909 677 ***
Chị Hiền.",24 m²,"3,75 tỷ",Tây - Bắc,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16/07/2024,23/07/2024,Tin VIP Kim Cương,40413304,,
"Bán nhà hẻm 1/ Nguyễn Văn Đậu, 2 lầu sân thượng, 3,25 tỷ","Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh","Bán nhà đường Nguyễn Văn Đậu, P6, Bình Thạnh.
DT 55m² (ngang 5m).
Kết cấu: 1 trệt 2 lầu sân thượng 4 phòng ngủ.
Tiện ích: Nhà nằm ngay trục đường thông, hẻm xe hơi, khu an ninh, gần trường THPT Phan Đăng Lưu.
Giá: 3,25 tỷ.
Sổ hồng hoàn công đủ.",55 m²,"3,25 tỷ",,,4 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,16/07/2024,23/07/2024,Tin VIP Kim Cương,39341883,,5 m
"Nhà hẻm xe hơi 4.6 x 15m sổ CN 68m2. Nhà trệt, lầu sát mặt tiền chỉ 1 / giá dưới 6 tỷ","Đường Số 9, Phường 9, Gò Vấp, Hồ Chí Minh","Bán nhà hẻm xe hơi sát mặt tiền Đs 9, P9, Gò Vấp.
- DT 4,6m*15m, SHCN 68m². Kết cấu trệt, lầu.
- Vị trí đẹp cách MT đường chỉ 15m.
- Giá 5,95 tỷ TL.
Cam kết đăng đúng nhà, thông tin hoàn toàna thật.
- Liên hệ
0369 720 ***
Phương BDS nhà thật giá tốt.",68 m²,"5,95 tỷ",,,3 phòng,2 phòng,,,15/07/2024,25/07/2024,Tin VIP Kim Cương,40407097,4 m,
Cơ hội đầu tư nhà xưởng 9615m2 ở Tiền Giang - sẵn sàng cho thuê | hấp dẫn đầu tư & môi giới,"Đường Tỉnh lộ 878B, Xã Tân Lý Tây, Châu Thành, Tiền Giang","Đầu tư nhà xưởng tiềm năng cao tại Tiền Giang!

Công ty TNHH Đạt Thành, với hơn 15 năm kinh nghiệm trong lĩnh vực sản xuất hạt điều, cung cấp cơ hội đầu tư không thể bỏ qua với nhà xưởng rộng 3000m, đã hoàn thiện và sẵn sàng cho việc cho thuê. Thị trường xuất khẩu chủ yếu của chúng tôi là Trung Quốc, một thị trường lớn với nhu cầu tiêu thụ không ngừng tăng cao.

Thông tin chi tiết nhà xưởng:

Diện tích đất tổng cộng: 9615m².
Diện tích nhà xưởng: 3000m, tối ưu cho sản xuất và kho bãi.
Chứng nhận: ISO 22000 - 2018, đảm bảo tiêu chuẩn quốc tế.
Vị trí: Châu Thành, Tiền Giang, gần quốc lộ chính đi TP. Hồ Chí Minh, thuận tiện cho logistics và mở rộng kinh doanh.
Tiềm Năng Đầu Tư và Phát Triển:

Đa dạng hóa đầu tư: Sẵn sàng chuyển đổi sang các lĩnh vực sản xuất khác.
Mở rộng: Có khả năng mở rộng không gian sản xuất và kho bãi.
Thị trường: Tiếp cận thị trường xuất khẩu lớn và đang tăng trưởng mạnh.
Cơ hội cho môi giới:

Hoa hồng hấp dẫn: Cung cấp mức hoa hồng cạnh tranh cho môi giới giới thiệu khách hàng thành công.
Hỗ trợ tối đa: Cung cấp thông tin đầy đủ và minh bạch để môi giới có thể dễ dàng giới thiệu sản phẩm.
Liên hệ ngay để biết thêm chi tiết và xem nhà xưởng! Chúng tôi luôn sẵn sàng hỗ trợ bạn để đảm bảo một quá trình đầu tư suôn sẻ và lợi nhuận cao.",9.615 m²,70 tỷ,,,,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/07/2024,02/08/2024,Tin thường,39593158,16 m,25 m
Bán nhà Xô Viết Nghệ Tĩnh hẻm oto 46m2 giá chốt 2 tỷ 860 pháp lý đầy đủ ở hoặc kinh doanh cho thuê,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh","Chính chủ cần bán nhà riêng ở đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh.
Diện tích; 46m², ngang 4m dài 12m.
Nhà có 1 trệt 2 lầu có sân thượng, sân để xe máy. Mỗi phòng có vệ sinh khép kín.
Hẻm oto thông thoáng.
Khu nhiều ngân hàng, có thể cho thuê căn hộ dịch vụ.
Giá bán: 2 tỷ 860 chốt.
Sổ hồng bao phí check quy hoạch.",46 m²,"2,86 tỷ",Đông - Nam,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,15/07/2024,22/07/2024,Tin VIP Kim Cương,39924333,4 m,4 m
Kẹt tiền giảm ngay 20% giá gốc nhà phố liền kề The Global City LH 0769 868 *** Mr Đạt,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh","Giỏ hàng nhà phố biệt thự tốt nhất thị trường tháng 5/2024, cập nhật liên tục, thông tin rõ ràng, chính xác, uy tín.
Giỏ hàng giá ngộp bank, bán lỗ so với giá gốc, cơ hội mua giá CK tới 20% so với thời kì cao điểm.
Lh
0769 868 ***
.
* Rổ hàng chính chủ nhiều căn The Global City cắt lỗ giá tốt nhất:
(1). Dãy Liên kế 1.
- Trục đường lớn 20m.
- Diện tích đất 95m (5x19m) - Diện tích xây dựng: 346,56 m - 1 trệt 4 lầu.
- Hướng Tây Bắc view trực diện công viên nhạc nước - khu căn hộ cao tầng.
- Giá bán 46,6 tỷ giảm so giá gốc hợp đồng 10%.
Ưu điểm: (Vị trí căn siêu đẹp đối diện công viên nhạc nước 2km) trục đường dành cho khách hàng đầu tư.
-----------------------------
(2). Dãy Liên kế 3.
- Trục đường 20m.
- Diện tích 5x19m - Diện tích xây dựng: 346,56 m - 1 trệt 4 lầu.
- Hướng Tây Bắc (Giá bán 40,6 tỷ) giảm so giá gốc hợp đồng 10%.
Ưu điểm: Vị trí đẹp đường lớn liền kề trung tâm thương mại - công viên - Phố đi bộ festival - khu ẩm thực - trường học.
-----------------------------
(3). Dãy liên kế 2.
- Trục đường 14m.
- Diện tích 5x19m - Diện tích xây dựng: 346,56 m - 1 trệt 4 lầu.
- Hướng Tây Bắc - (Giá bán 53,4 tỷ) giảm so giá gốc hợp đồng 10%.
Ưu điểm: (Vị trí căn siêu đẹp đối diện trung tâm thương mại) trục đường dành cho khách hàng đầu tư.
---------------------------------
(4). Dãy Liên kế 5.
- Trục đường 14m.
- Diện tích 5x19m - Diện tích xây dựng: 346,56 m - 1 trệt 4 lầu.
- Hướng Đông Nam - (Giá bán 32 tỷ) - giảm so với giá gốc 20%.
Ưu điểm: Giá tốt nhất thị trường dành cho khách hàng đầu tư.
---------------------------------
(5). Dãy liên kế 6.
- Trục đường 14m.
- Diện tích 5x19m - Diện tích xây dựng: 346,56 m - 1 trệt 4 lầu.
- Hướng Đông Nam (Giá bán 34,3 tỷ) - giảm so với giá gốc 10%.
Ưu điểm: (Vị trí đối diện công viên - Giá tốt dành cho khách hàng đầu tư).
----------------------------------
(6). Dãy Liên kế 7.
- Trục đường 14m.
- Diện tích 5x19m.
- Hướng Tây Bắc đối diện công viên (Giá bán 36 tỷ) còn thương lượng.
Ưu điểm: (Vị trí đối diện công viên - Giá tốt dành cho khách hàng đầu tư).
-----------------------------------
(7). Dãy Liên kế 12.
- Trục đường 14m.
- Diện tích 5x19m.
- Hướng Đông Nam (Giá bán 35,5 tỷ) giảm so với giá gốc 15%.
Ưu điểm: (Vị trí gần khu phố ẩm thực festival - đường chính Đỗ xuân hợp - Giá tốt dành cho khách hàng đầu tư).
-----------------------------------
(8). Dãy Liên kế 14.
- Trục đường 14m.
- Diện tích 5x19m.
- Hướng Đông Nam (Giá bán 43 tỷ) giảm so với giá gốc 10%.
Ưu điểm: (Vị trí gần khu phố ẩm thực festival - đường chính Đỗ xuân hợp - Giá tốt dành cho khách hàng đầu tư).
---------------------------------------------------------------------------------------------------
Ngoài ra công ty em còn rất nhiều căn ở các vị trí đẹp giá tốt. Anh chị gọi hoặc nhắn tin sẽ có sản phẩm phù hợp.
Liên hệ xem nhà và tư vấn
0769 868 ***
.
Trân trọng cảm ơn!
Thông tin thật 100%, không đăng giá ảo.",95 m²,32 tỷ,Đông - Nam,Đông,4 phòng,4 phòng,Hợp đồng mua bán,Không nội thất,15/07/2024,22/07/2024,Tin VIP Kim Cương,39884639,13 m,5 m
