title,address,description,size,price_string,direction,balcony_direction,bedrooms,toilets,duty,furniture,start_date,end_date,type,id
"Bán căn hộ 3PN/2Wc Masteri Thảo Điền, tầng cao, view sông, hướng mát - hỗ trợ vay","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh","Chủ gửi bán căn hộ 3 phòng ngủ, 2 toilet tại Masteri Thảo Điền.

* Thông tin căn hộ:
- Layout bếp mở.
- Diện tích 93m².
- Đầy đủ nội thất và các trang thiết bị.
- Hướng mát, tầm nhìn thoáng.
- Pháp lý rõ ràng, công chứng dễ dàng.
Giá bán: 7.9 tỷ.
- Ngoài những căn hộ trên, công ty em còn nhiều căn hộ khác: Duplex, Penhouse, Shophouse... Tại Masteri Thảo Điền.
- Với 7 năm kinh nghiệm mua bán căn hộ tại Masteri Thảo Điền, Công Ty em luôn sẵn lòng hỗ trợ anh chị trong việc tìm được ngôi nhà lý tưởng của gia đình mình. Rất vui khi được hỗ trợ cho anh/chị.
* Hỗ trợ xem nhà trực tiếp.
* Em cam kết trả giá sát nhất hợp lý với số tiền anh chị bỏ ra.
* Hỗ trợ vay ngân hàng lên đến 80% giá trị căn hộ.
* Vị trí nào, view nào, hướng căn hộ nào em cũng có hàng.
* Chìa khóa hay pass cửa chủ nhà gửi sẵn, luôn sẵn sàng hỗ trợ khách xem nhà 24/7.
- Liên hệ em:
0961 628 ***
/Lê Hoàng Sang - để biết thêm thông tin chi tiết, hỗ trợ xem căn hộ trực tiếp và thương lượng giá phù hợp cho anh/chị.",93 m²,"7,9 tỷ",Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/07/2024,17/08/2024,Tin thường,40434326
"Chính chủ cần ra gấp căn Vinhomes Bason siêu đẹp 3PN view sông Sài Gòn Bitexco giá 22tỷ, 0908 494 ***","Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh","Cần ra gấp căn Vinhome Bason siêu đẹp 3PN View sông Sài Gòn Bitexco giá.
Diện tích: 112.7m². (Đã có sổ hồng).
Thiết kế hiện đại, nội thất cao cấp.
+ Vị trí của căn hộ cũng rất thuận tiện cho việc di chuyển, với nhiều tuyến đường lớn như Điện Biên Phủ, Võ Văn Kiệt, Nguyễn Huệ, đại lộ Đông Tây, cư dân dễ dàng di chuyển đến các khu vực xung quanh thành phố.
Tiện ích: Thoải mái trải nghiệm nhiều tiện ích cao cấp như hồ bơi, phòng gym, sân tennis, khu vui chơi trẻ em, khu BBQ,... Ngoài ra, tại Vinhomes Golden River còn có các dịch vụ tiện ích như siêu thị, nhà hàng, quán cà phê,.... Đem lại sự tiện lợi cho cuộc sống hàng ngày.
Gọi ngay:
0908 494 ***
để được tư vấn và xem nhà.","112,7 m²",22 tỷ,Tây - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16/07/2024,31/07/2024,Tin thường,40222408
"Bán gấp CH Vinhomes 2PN + chỉ 3.1 tỷ, rẻ hơn mua mới đến 900tr. LH tuân 0908 494 ***","Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Tổng hợp nhiều căn Vinhomes chính chủ đang cần bán nhanh cần thu hồi vốn.
1 số căn Origami khách hàng cần thu hồi vốn, bán lỗ từ 900 triệu - 1 tỷ so với giá mua ban đầu.
3PN, 2WC S10.07 - 1x. 21 view khu dân cư, thành phố thoáng, giá gốc 4.1 tỷ, bán 3.1 tỷ. (DT 69.2m²).

Tiện ích nội khu:
- Công viên ánh sáng 36ha.
- Bãi biển nhân tạo, có khu vực tiệc nướng BBQ.
- Tiện ích xung quanh: Circle K, Family Mart, Start Buck, Highland, Pharmacity, Vinschool. Và Vincom Mall lớn nhất miền nam sẽ được khai trương vào tháng 6 năm sau.
- Khu vực an ninh tuyệt đối 24/24, dân cư văn minh.

Hiện tại nhiều căn hộ đã bắt đầu có sổ hồng, có thể mua bán sang tên ngay!

Giỏ hàng cập nhật liên tục, tổng hợp nhiều căn khu Origami đang cần bán nhanh, giá cực tốt, bớt lộc mạnh cho khách thiện chí.

Ngoài ra em còn nhận booking và bán mới giỏ hàng phân khu Origami từ chủ đầu tư, Tất cả các sản phẩm đều được hỗ trợ vay 70% giá bán. Ân hạn gốc 12 tháng kể từ khi khách mua và làm hồ sơ vay mới.
- Thanh toán 10% kí hợp đồng mua bán.
- Thanh toán 15% nhận nhà ở ngay.
- Ngân hàng hỗ trợ lãi 0% lên tới 18 tháng.
- 24 tháng tiếp theo không áp lực Ngân hàng khi chủ đầu tư hỗ trợ khoản lãi 8%/năm, phần lãi phát sinh vượt quá khách sẽ tự thanh toán.

Anh chị liên hệ em Tuấn
0908 494 ***
để được tư vấn thêm nhiều chính sách ưu đãi, hỗ trợ xem nhà 24/7.","69,2 m²","3,1 tỷ",Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,18/07/2024,02/08/2024,Tin thường,39209862
Bán 1PN + full nội thất giá rẻ nhất Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Chính chủ bán nhanh 1PN + full nội thất ngay cạnh Origami đã có sổ hồng.
- Nội thất như hình.
- Diện tích tim tường : 47m².
- Inb xem sổ hồng qua zalo.",47 m²,"1,85 tỷ",,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,20/07/2024,30/07/2024,Tin thường,39430830
"Chủ thân em gửi bán 2PN 74.8m2 4.2T Precia Quận 2. Hỗ trợ cho vay 70%, LH 0965 431 ***","Dự án Căn hộ Precia Quận 2, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh","Hỗ trợ cho vay 70% hồ sơ nhanh.
- Căn hộ 2PN: Diện tích 74.8m². Có sổ và có nội thất, giá bán tốt 4.2 tỷ có thuê phí.
- Có thể đi xem nhà nhanh, hướng nhà rất mát.

Liên hệ ngay để nhận tư vấn và xếp lịch xem nhà (24/24).
Em PKD Precia, hỗ trợ mọi thủ tục và tư vấn tận tâm.
Cảm ơn anh chị đã xem tin.","74,8 m²","4,2 tỷ",,,2 phòng,2 phòng,Có sổ,Có nội thất.,13/07/2024,23/07/2024,Tin thường,33632320
"Bán căn 2PN thiết kế phong cách nhật đã có sổ tặng full NT, thu giá chỉ 1,690 tỷ","Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Bán căn 2PN thiết kế phong cách nhật tặng full NT giá chỉ 1,690 tỷ.

- Vị trí: Vinhomes Grand Park - TP. Thủ Đức.
- Loại căn: 2PN Thiết kế từ căn studio diện tích lớn.
- Diện tích 31,5m².
- Thu nhập thuê từ 7 triệu / tháng.
- Tặng full nội thất Nhật Bản.
- Đã có sổ hồng công chứng ngay.
- Giá 1,690 tỷ all in.

Xem nhà liên hệ Thiên Ân (call / zalo)
0945 040 ***
.
Cảm ơn anh chị đã xem tin!","31,5 m²","1,69 tỷ",,,2 phòng,,Sổ đỏ/ Sổ hồng,Full NT.,13/07/2024,23/07/2024,Tin thường,40392859
Chỉ 1tỷ2 sở hữu ngay căn hộ đường Nguyễn Văn Khối Gò Vấp 35m2 nội thất đầy đủ CV Làng Hoa Gò Vấp,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh","Căn hộ tại công viên Làng Hoa, Gò Vấp - Đầy đủ nội thất.

Địa chỉ: Ngay công viên Làng Hoa, đường Lê Văn Thọ, Gò Vấp.
Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh.
Diện tích: Từ 35.2m².
Giá bán: 1.2 tỷ.
Phòng ngủ: 1PN + 1; Nhận nhà đầy nội thất.

Bộ nội thất cao cấp: TV, tủ lạnh, máy lạnh, sofa, bàn ăn, giường ngủ, tủ quần áo, bếp...

Tiện ích:

Camera an ninh 24/7.
Hồ bơi, phòng gym.
Khu vui chơi trẻ em.
Kết nối giao thông: Nằm ngay công viên Làng Hoa Gò Vấp, đường Lê Văn Thọ cách Quang Trung chỉ 400m. Thuận tiện di chuyển đến các khu vực lân cận như Bình Thạnh, Quận Phú Nhuận, sân bay Tân Sơn Nhất và nhiều điểm thương mại, giải trí khác trong thành phố.

Chính sách bán hàng:

Thanh toán linh hoạt: Theo tiến độ hạ tầng, hỗ trợ thanh toán trong vòng 3 năm.
Chương trình khuyến mãi: Chiết khấu ngay 20 triệu tiền mặt khi mua ngay và nhận bộ thất trị giá 70 triệu đồng.
Lh
0903 066 ***
xem nhà mẫu thực tế.","35,2 m²","1,2 tỷ",,,1 phòng,1 phòng,,"TV, tủ lạnh, máy lạnh, sofa, bàn ăn, giường ngủ, tủ quần áo, bếp...",21/07/2024,31/07/2024,Tin thường,39764263
"Penhouse Celadon City 273.2m2 giá 17,65tỷ có sân vườn trong nhà chỉ 1căn duy nhất Diamond Centery","Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh","Sản phẩm cao cấp duy nhất chỉ có tại khu Diamond Centery, có 1 trong 2.
- Penhouse (căn hộ thông tầng).
- Diện tích: 273,2m²/204,2m².
- Giá bán 102%: 17,650,000,000 đ (giá thật đã bao gồm sổ hồng và phí bảo trì).
- Trong nhà có khu vực riêng làm sân tập gym, phong đa năng, BBQ Tại nhà, sở hữu 1 sân vườn rộng lớn phía sau, sử dụng tiện ích chuẩn 5* (nghĩ dưỡng tại gia), sân gold, hồ bơi lên đến 1282m², phòng gym, yoga, nhà hàng, spa, nhà hàng, khu vui chơi trê em...
- Bàn giao nhà cơ bản: Trần, đèn, bếp, máy lạnh và tặng kèm 1 bãi đậu xe hơi dưới hầm.
- Nhận nhà tháng 9.2024.

Anh chị quan tâm liên hệ em đi xem thực tế căn hô penhouse để cùng trải nghiệm cảm giác có 1 không 2 ạ:
0359 999 ***
Em Thư).
https://celadoncitytanphu.com/diamond-centery-by-celadon-city-bid114.html","273,2 m²","17,65 tỷ",,,,,Hợp đồng mua bán,Cơ bản,15/07/2024,30/07/2024,Tin thường,40399262
"Căn 3PN 120m2 view biển công viên - kèm chỗ đậu ôtô khu Diamond Centery, giá 7 tỷ 8 celadon city","Dự án Diamond Centery Celadon City, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh","Cần bán căn 3PN - 2WC 120m² khu Diamond Centery.
- Giá: 7 tỷ 8.
- Bàn giao: Nhà mới (bao gồm trần, đèn, bếp, máy lạnh, thiết bị vệ sinh.
- View: Công viên.
- Anh chị khách hàng co thể xem thực tế ạ.
Anh chị quan tâm inbox em nhe:
0359 999 ***
E. Thư).",120 m²,"7,8 tỷ",,,3 phòng,2 phòng,,,20/07/2024,04/08/2024,Tin thường,40313460
Bán căn hộ Vinhomes Central Park & Landmark 81 giá tốt nhất 1 2 3 4 PN penthouse. LH 0909 637 ***,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh","Bán căn hộ Vinhomes Central Park & Landmark 81 giá tốt nhất 1 2 3 4 PN penthouse. LH
0909 637 ***
.

Danh sách các căn hộ đang rao bán tại Vinhomes Central Park.

* Căn 1 phòng ngủ.
- DT 53,3m - block C2 - NT cơ bản. Giá 4,65 tỷ.
- DT 53,7m - block L4 - Full NT. Giá 4,2 tỷ.
- DT 54,3m - block P7 - Full NT. Giá 4,5 tỷ.
LH
0909 637 ***
.

* Căn 2 phòng ngủ.
- DT 91m - Block P3 - Full NT. Giá 7,15 tỷ.
- DT 79m - Block P4 - Full NT. Giá 6,45 tỷ.
- DT 83m - Block P7 - NT cơ bản. Giá 4,65 tỷ.
- DT 89m - Block P2 - full nội thất. Giá 6,3 tỷ.
- DT 84m - Block C2 - Full NT. Giá 5,75 tỷ.
- DT 91m - Block P7 - Full NT. Giá 6,4 tỷ.
- DT 85m - Block L5 - NT cơ bản. Giá 5,5 tỷ.

LH
0909 637 ***
.

* Căn 3 phòng ngủ.
- DT 109m - Block P3 - Full NT. Giá 9,15 tỷ.
- DT 120m - Block LP - full nội thất. Giá 9,5 tỷ.

LH
0909 637 ***
.

Kiến thức thị trường, tận tâm và chuyên nghiệp, hãy liên hệ TMT để mua hoặc thuê nhà một cách tự tin. Điện thoại LH
0909 637 ***
.

Xin cảm ơn và kính chúc quý khách mạnh khoẻ, hạnh phúc và thành công!",120 m²,"9,5 tỷ",Đông,Đông,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/07/2024,25/07/2024,Tin VIP Kim Cương,40371290
"Bán căn hộ mặt sông Hàn, tặng gói sinh nhật và du lịch 70 triệu (trừ thẳng vào giá bán)","Dự án Peninsula Đà Nẵng , Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","Căn hộ Peninsula Da Nang - căn hộ ven sông tốt nhất đà nẵng trong tầm giá.
Sở hữu căn hộ ven sông Hàn chỉ từ 2.2 tỷ full nội thất.
Tổng quan dự án căn hộ Peninsula.
Vị trí: Trần Hưng Đạo - Lê Văn Duyệt, P Nại Hiên Đông, Q Sơn Trà Đà Nẵng.
Chủ đầu tư: Tập Đoàn Đông Đô.
Đơn vị phát triển dự án: Athena Luxury.
Đơn vị phân phối Độc Quyền: Công ty CP Đô Thị Thông Minh Việt Nam.
Quy mô: Diện tích đất: 7,167 m².
Mật độ xây dựng: 44 %.
3 tầng hầm đậu ô tô (diện tích hơn 18 nghìn m²).
3 tầng khối đế dịch vụ tiện ích.
26 tầng căn hộ cao cấp (34 căn/sàn).
Tầng thượng có hồ bơi + căn hộ + 1 tầng tum.
Pháp lý: Sổ hồng riêng sở hữu lâu dài.
Thời gian bàn giao: Dự kiến tháng 6/2026.
Thời gian cấp sổ: Dự kiến tháng 01/2027.
-----
Loại hình sản phẩm:
- Căn 2PN View Sông Hàn, Novotel (64,3m²) mã căn P1 - 19 - 17.
- Căn 2PN view Sông Hàn, Novotel (76,1m²) mã căn P2 - 17 - 12.
-----
- Viettin Bank bảo lãnh cho dự án, và hỗ trợ vay cho khách hàng.
Chính sách ""chủ nhân tinh hoa"" áp dụng cho: 20 khách hàng đầu tiên đến 30/7/2024.
- Chiết khấu 8% (phương án thanh toán theo tiến độ).
- Chiết khấu 2% (phương án thanh toán theo khoản vay).
- Gói nội thất 41.450.000.
- Tặng gói lưu trú và di chuyển cho cả gia đình trị giá 20 triệu/ 1 căn hộ (trừ thẳng vào giá bán).
- Tặng gói Sinh nhật VNSC 50 triệu (trừ thẳng vào giá bán).
- Tặng 2 năm phí vận hành.
- Được chọn căn phù hợp nhất.
-----
Liên hệ em Khương
0708 117 ***
.
Chuyên viên kinh doanh VNSC (Đất Xanh Miền Trung - Dat Xanh Group).
Địa chỉ: 386 Điện Biên Phủ - Thanh Khê - Đà Nẵng.","64,3 m²",52 triệu/m²,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/07/2024,24/07/2024,Tin VIP Bạc,40274412
"Bán căn hộ Vinhomes Golden River Ba Son 1, 2, 3, 4 PN giá tốt nhất chỉ từ 5,5 tỷ LH 0909 637 ***","Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh","Bán căn hộ Vinhomes Golden River Ba Son 1, 2, 3, 4 PN giá tốt nhất chỉ từ 5,5 tỷ LH
0909 637 ***
.

Cam kết luôn luôn có mức giá tốt nhất thị trường, giỏ hàng cập nhật 247.

* Căn 1 phòng ngủ.
Diện tích 50.6m - block L6 nội thất cơ bản 5 tỷ.
Diện tích 50m block A1 full NT 6 tỷ.
Diện tích 55m block A4 full NT 5.5 tỷ.
LH
0909 637 ***
.

* Căn 2 phòng ngủ.
Diện tích 72m block A3 NT cơ bản 8 tỷ.
Diện tích 82m block A1 full NT 8,5 tỷ.
Diện tích 83m block A4 giá 9.9 tỷ.
Diện tích 87m block A2 full NT 11 tỷ.
LH
0909 637 ***
.

* Căn 3 phòng ngủ.
Diện tích 122m block A1 NT cơ bản 20 tỷ.
Diện tích 126m block L6 full NT 18 tỷ.
Diện tích 109m block A4 full NT 18.5 tỷ.
LH
0909 637 ***
.

* Căn 4 phòng ngủ.
Diện tích 158m block A3 NT cơ bản 3X tỷ.
Diện tích 158m block A1 full NT 31 tỷ.
LH
0909 637 ***
.",72 m²,8 tỷ,Đông,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/07/2024,25/07/2024,Tin VIP Kim Cương,40372032
"Chính chủ cần bán căn hộ lô A, rất hiếm Phạm Viết Chánh, phường 19, quận Bình Thạnh. 70m2, 2PN","Dự án Chung cư Phạm Viết Chánh, Đường Phạm Viết Chánh, Phường 19, Bình Thạnh, Hồ Chí Minh","Cần bán căn hộ chính chủ (lô A, rất hiếm căn bán) chung cư 79 Phạm Viết Chánh, phường 19, quận Bình Thạnh, giáp ranh quận 1, cách Khu Ba Son 500m, cách Landmark 81 - 1km. Tiện ích xung quanh ko thiếu gì. Thuận tiện đi các quận, view mặt tiền đường, cực kỳ thoáng mát.
Giá 43 triệu/1m², Diện tích 70m², gồm 1 phòng khách lớn, 2pn, 1 phòng bếp, 1wc (có thể làm thêm 1 phòng tắm).
Số đt chính chủ:
0333 220 ***",70 m²,43 triệu/m²,Đông - Nam,Đông - Nam,2 phòng,1 phòng,,,18/07/2024,28/07/2024,Tin VIP Kim Cương,40434334
"Mua ngay - top 102 căn hộ Diamond Island có giá kịch sàn - view đẳng cấp, từ 1-2-3-4PN-duplex-villa","Dự án Diamond Island, Đường 104, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh","Mua ngay - top 102 căn hộ Diamond Island có giá kịch sàn - view đẳng cấp, từ 1 - 2 - 3 - 4PN - duplex - villa.

- Công ty SSQC chuyên ký nhận và bán - cho thuê căn hộ cao cấp tại dự án Đảo Kim Cương giá tốt nhất.
- Xem chi tiết giỏ hàng hơn 102 căn hộ đang chờ bán tại website: https://ssqc-diamondisland.com/
- Môi giới tận tâm chuyên nghiệp - Tư vấn nhiệt tình - Hỗ trợ tìm căn phù hợp với nhu cầu của khách hàng.
- Cung cấp miễn phí dịch vụ pháp lý, công chứng sang tên, đăng bộ, đóng thuế từ A - Z.
- Liên hệ Ms Phương
0906 344 ***
Sms/ Zalo/ Viber/ Whatsapp - xem nhà thực tế trong 2 giờ).
------------
Công ty SSQC gửi đến quý khách hàng danh sách các căn hộ đang chào bán tại Đảo Kim Cương (Diamond Island) đã được chọn lọc kĩ càng để tiết kiệm thời gian tìm kiếm cho quý Anh Chị:

* Căn hộ 1 phòng ngủ.
- Tháp Canary (45m² - 54m²), full nội thất, giá bán từ 3 tỷ - 5 tỷ (số lượng có hạn).
- Tháp Bora Bora (52m²), full nội thất, giá bán từ 4.5 tỷ - 5 tỷ (không có căn thứ 2).

* Căn hộ 2 phòng ngủ.
- Tháp Canary (sở hữu 50 năm), 65m² - 105m², full nội thất, giá bán từ 4.5 tỷ - 9 tỷ.
- Tháp Bora Bora/ Bahamas/ Hawaii (90m² - 95m²), full nội thất, giá bán từ 7 tỷ - 9 tỷ.
- Tháp Maldives (89m² - 109m²), full nội thất, giá bán từ 7.5 tỷ - 9.5 tỷ.
- Tháp Brilliant (đã có sổ), 81m² - 125m², full nội thất, giá bán từ 6.9 tỷ - 11 tỷ.

* Căn hộ 3 phòng ngủ.
- Tháp Canary (sở hữu 50 năm), 117m² - 136m², full nội thất, giá bán từ 9 tỷ - 11 tỷ.
- Tháp Bora Bora/ Bahamas/ Hawaii (117m² - 143m²), full nội thất, giá bán từ 10 tỷ - 14 tỷ.
- Tháp Maldives (117m² - 164m²), full nội thất, giá bán từ 11.5 tỷ - 15 tỷ.
- Tháp Brilliant (đã có sổ), 180m² - 219m², full nội thất, giá bán từ 16 tỷ - 19 tỷ.

* Căn hộ 4 phòng ngủ.
- Tháp Bahamas/Hawaii/Bora Bora, 167m², full nội thất, giá bán từ 18.5 - 20.5 tỷ.
- Tháp Brilliant (217m²), full nội thất, giá bán từ 22 tỷ - 24 tỷ.

Lưu ý.
* Có 1 vài căn giá tốt đã giao dịch trước lúc quý khách hàng liên hệ.
* Các căn hộ có giá chênh lệch phụ thuộc vào view, tòa, tầng, nội thất, thời điểm.
------------
Công ty SSQC còn quản lý giỏ hàng đa dạng các loại hình căn hộ 1 - 2 - 3 - 4PN - Duplex - Sân vườn - Villa với giá cực tốt (làm việc trực tiếp chính chủ).
* Đừng bỏ lỡ! Xem chi tiết giỏ hàng hơn 102 căn hộ đang chờ bán tại website: https://ssqc-diamondisland.com/
------------
(Tất cả những sản phẩm đều là sản phẩm ký gửi trực tiếp chính chủ - Tin thật - Không đăng tin ảo - Không qua nhiều trung gian).
Hotline 24/7:
0906 344 ***
Ms Phương).

Cảm ơn quý khách hàng đã xem tin. Chúc anh/chị tìm được căn hộ ưng ý!",90 m²,"6,78 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,18/07/2024,25/07/2024,Tin VIP Kim Cương,40431745
"Chủ nhà gửi bán lỗ căn hộ 3PN Vinhomes Grand Park, giá chỉ 2,85 tỷ còn thương lượng","Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Chủ nhà cần tiền gấp, gửi bán lỗ căn hộ Vinhomes Grand Park quận 9.
Căn góc 3 phòng ngủ view sông và trực diện công viên cực đẹp.
Diện tích 90m².
Giá chỉ 2,85 tỷ còn thương lượng cho người thiện chí.
Liên hệ
0968 116 ***",90 m²,"2,85 tỷ",,,3 phòng,,Sổ đỏ/ Sổ hồng,,18/07/2024,25/07/2024,Tin VIP Kim Cương,38809002
Chưa bao giờ mà sở hữu căn hộ cao cấp biển Vũng Tàu mà thanh toán chỉ 20% nhận nhà full nội thất,"Dự án Vung Tau Centre Point, Đường Nguyễn Hữu Cảnh, Phường Nguyễn An Ninh, Vũng Tàu, Bà Rịa Vũng Tàu","Căn hộ cao cấp sở hữu lâu dài Vung Tau Centre Point đã vào giai đoạn hoàn thiện nội thất.
Nhận nhà vào cuối năm 2024 và bàn giao toàn bộ tiện ích dự án vào quý 1/2025.
Tọa lạc tại 4 mặt tiền khu đô thị Chí Linh và 4 mặt view biển.
Sáng ngắm bình minh tuyệt đẹp - chiều đón hoàng hôn ấm áp.
Tổng diện tích dự án 7400m² vào cao 25 tầng nổi và 2 tầng hầm.
Được chia làm 2 block căn hộ gồm 540 căn hộ điển hình và 29 căn Duplex.
Căn hộ 3PN diện tích 102m².
5 tầng thương mại sở hữu full tiện ích(all in one) cho quý cư dân.
Dự án căn hộ cao cấp sở hữu lâu dài đầu tiên tại thành phố biển Vũng Tàu.
Giai đoạn mở bán cuối cùng chỉ còn 100 căn cho quý khách hàng kịp cơ hội sở hữu.
Tặng lên đến 7 chỉ vàng khi sở hữu căn hộ trong giai đoạn này.
Chiết khấu khủng lên tới 18% hơn 500 triệu/căn.
Thanh toán 20% nhận nhà ngân hàng hỗ trợ 50% (ân hạn lãi, gốc lên đến 18 tháng).
Liên hệ:
0836 798 ***
Từ chủ đầu tư để được hỗ trợ tốt nhất 24/7.",102 m²,"5,6 tỷ",Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/07/2024,31/07/2024,Tin thường,40410995
"CHUYÊN BÁN CĂN HỘ ĐẢO KIM CƯƠNG TỪ 1 PN 5 PN, DUPLEX, GARDEN / POOL / SKY VILLA, SHOPHOUSE","Dự án Diamond Island, Phố Trần Quý Kiên, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh","Với hơn 250 căn hộ cao cấp Đảo Kim Cương (Diamond Island) các loại cần bán và cho thuê, Quý khách có thể dễ dàng lựa chọn được căn hộ như ý. Liên hệ PKD Diamond Island: Điện thoại / Zalo / Viber / SMS:
0903 436 ***
/
0902 621 ***
- Ms Thanh Nga.

- Giá bán căn hộ Đảo Kim Cương thay đổi phụ thuộc vào diện tích, hướng View, số tòa, tầng, và tình trạng nội thất:

* Căn hộ 2 PN, 2 WC:
- DT 65 - 72 m², giá bán từ 4,5 tỷ - 5,1 tỷ
- DT 81 - 89 m², giá bán từ 5,4 tỷ - 7,8 tỷ
- DT 90 - 98 m², giá bán từ 6,8 tỷ - 10 tỷ
- DT 105 - 109 m², giá bán từ 8,5 tỷ - 12 tỷ
- DT 125 m², Tháp Brilliant, giá bán từ 11,5 tỷ - 15 tỷ

* Căn hộ 3 PN, 2 - 3 WC:
- DT 117 - 143 m², giá bán từ 9,4 tỷ - 13,5 tỷ.
- DT 178 - 220 m², giá bán từ 15,5 tỷ - 23,3 tỷ
- DT 164 m² ( 3 PN, 3WC ), Tháp Maldives, giá bán từ 26 tỷ - 33 tỷ.
- DT 187 - 200 m², căn hộ sân vườn, giá bán từ 17,6 tỷ - 21 tỷ.

* Căn hộ 4 PN, 3 - 4 WC:
- DT 160 - 218 m², giá bán từ 18,5 tỷ - 32 tỷ
* Căn hộ Duplex:
- DT 200 - 414 m² ( 4 PN - 5 PN ), giá từ 18 tỷ - 48 tỷ.

* Ngoài các căn hộ thông thường, Officetel, Duplex, Đảo kim cương còn có các căn hộ đẳng cấp cao như: Garden Villa, Pool Villa, Sky Villa, Penthouse với diện tích từ 190 m² 880 m², với giá bán từ 18 tỷ đến 120 tỷ / căn.

Quý khách liên hệ PKD Diamond Island: Điện thoại / Zalo / Viber / SMS:
0903 436 ***
/
0902 621 ***
- Ms Thanh Nga.
- Chuyên bán căn hộ Diamond Island với giới kinh nghiệm lâu năm, chuyên nghiệp, uy tín, nhiệt tình và chân thành.
- Hỗ trợ, tư vấn, dẫn khách đi xem căn hộ miễn phí 24/7 kể cả thứ 7, Chủ nhật và các ngày lễ lớn.
- Hợ trợ Quý khách thương lượng giá, gặp và làm việc trực tiếp Chủ nhà.
- Hỗ trợ Quý khách mọi thủ tục pháp lý, thuế, ngân hàng từ A - Z chuyên nghiệp và nhanh chóng.

THÔNG TIN KHU CĂN HỘ DIAMOND ISLAND (ĐẢO KIM CƯƠNG):
Diamond Island là khu căn hộ hạng sang nằm trên hòn đảo biệt lập duy nhất tại Quận 2, được bao quanh với 4 mặt sông nước tạo nên không gian sống tuyệt vời và đầy tính riêng tư.
- Chủ đầu tư uy tín và danh tiếng: Tập đoàn Kusto Home - Kusto Group Singapore.
- Diện tích khu căn hộ: 8 ha.
- Mật độ xây dựng 13,5%, còn lại 86,5% là mật độ dành cho mảng xanh và khu vực công cộng.
- Bao gồm 6 cụm tòa tháp, 1.323 căn hộ, đã ban giao sẵn sàng để ở.
- Pháp lý: Sổ hồng sở hữu lâu dài.
- Ban quản lý khu căn hộ PMC.
- Diamond Island có đầy đủ các tiện ích hạng sang cao cấp như: Hồ bơi muối khoáng 2.000m, hồ bơi tràn đạt chuẩn Olympic với 4 làn bơi, xông hơi sauna, BBQ, khu vui chơi cho trẻ em, đường dạo bộ ven sông dài gần 2 km, nhà hàng sang trọng, phòng gym, yoga, phòng thiền, sân golf, sân tennis, siêu thị, bến du thuyền...

Quý khách liên hệ PKD Diamond Island: Điện thoại / Zalo / Viber / SMS:
0903 436 ***
/
0902 621 ***
- Ms Thanh Nga.",124 m²,"9,6 tỷ",Đông,Nam,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,16/07/2024,23/07/2024,Tin VIP Kim Cương,40416292
